"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4231.01 0.716628 0.723876 0.275735 0.87871
4231.36 0.73839 0.730964 0.273819 0.878822
4231.71 0.750784 0.734321 0.271957 0.878937
4232.05 0.751344 0.734892 0.272139 0.879052
4232.4 0.743152 0.733653 0.272321 0.87917
4232.74 0.730592 0.731316 0.272848 0.879289
4233.09 0.717321 0.728174 0.273861 0.87941
4233.44 0.706089 0.724183 0.27488 0.879533
4233.78 0.699257 0.719193 0.275836 0.879657
4234.13 0.696861 0.713199 0.276782 0.879783
4234.48 0.697945 0.706505 0.27828 0.879911
4234.82 0.700956 0.699727 0.28176 0.880039
4235.17 0.703092 0.693624 0.285307 0.88017
